name,category,location,website,contact,price_signal,source,score
PimaAfrica Distribution Sarl AU,Machinery & Industrial Supplies,"ad-Dar-al-Bayda, Casablanca",http://www.platinova.ma/,0522674424,,b2bmap.com,4.4
Forum Diffusion,Office Supplies,"ar-Ribat, Rabat-Sale-Zammour-Zaer",https://forumdiffusion.ma/,0537777107,,b2bmap.com,5.0
Organica Group LTD,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanorganica.com/,0648273228,,b2bmap.com,4.9
Agaforia,Office Supplies,Marrakech-Tensift-Al Haouz,https://marrakechcheval.com/,0643935177,,b2bmap.com,5.0
Moroccan Natural Stone,Construction & Real Estate,"Tangier, Tangier-Tetouan",,0539947448,,b2bmap.com,3.0
Tresors El Mamoun,"Arts, Crafts & Gifts",Marrakech-Tensift-Al Haouz,https://tresorselmamoun.com/,0672789898,,b2bmap.com,4.8
Gold Cheese Morocco,Food & Beverage,"ad-Dar-al-Bayda, Casablanca",https://goldcheesemorocco.com/,0522961471,,b2bmap.com,5.0
Mobilier Bureau Pro (MBP),Furniture & Decor,"ad-Dar-al-Bayda, Casablanca",http://www.mobilierbureaupro.com/,0640395875,,b2bmap.com,4.9
PROMASTEEL,Machinery & Industrial Supplies,"Fas, Fes-Boulemane",,,,b2bmap.com,0
Paraceutica,Health & Medical,Marrakech-Tensift-Al Haouz,,0661248432,,b2bmap.com,4.6
Bagha Shoes,"Arts, Crafts & Gifts","Agadir, Agadir",https://baghashoes.com/,0680734437,,b2bmap.com,5.0
TECHNORDE,Construction & Real Estate,"ad-Dar-al-Bayda, Casablanca",https://www.technorde.ma/,0661522655,,b2bmap.com,5.0
Labboho Morocco,"Arts, Crafts & Gifts","Agadir, Agadir",https://www.labboho.com/,0661115201,,b2bmap.com,4.9
Cosmeticlab Laboratoire,Health & Medical,Marrakech-Tensift-Al Haouz,https://cosmetiklab-laboratoires.com/,0525361515,,b2bmap.com,4.0
Timadel Home,Furniture & Decor,"Oujda, Oujda",,0650469815,,b2bmap.com,0
Ennea Trophi Sarl AU,Agro & Agriculture,"Agadir, Agadir",http://www.enneatrophi.com/,,,b2bmap.com,3.7
Moroccan Pouf Store,Furniture & Decor,Marrakech-Tensift-Al Haouz,,0707932646,,b2bmap.com,4.2
Viva Cosmetics,Agro & Agriculture,Marrakech-Tensift-Al Haouz,,0663120988,,b2bmap.com,0
Salice Cosmetics Labs,Health & Medical,"Agadir, Agadir",https://salicecosmeticslabs.com/,0698616798,,b2bmap.com,5.0
