name,category,location,website,contact,price_signal,source,score,b2bmap_url
Forum Diffusion,Office Supplies,"ar-Ribat, Rabat-Sale-Zammour-Zaer",https://forumdiffusion.ma/,0537777107,,b2bmap.com,5.0,https://b2bmap.com/forum-diffusion
Agaforia,Office Supplies,Marrakech-Tensift-Al Haouz,https://marrakechcheval.com/,0643935177,,b2bmap.com,5.0,https://b2bmap.com/agaforia
Gold Cheese Morocco,Food & Beverage,"ad-Dar-al-Bayda, Casablanca",https://goldcheesemorocco.com/,0522961471,,b2bmap.com,5.0,https://b2bmap.com/gold-cheese-morocco
PROMASTEEL,Machinery & Industrial Supplies,"Fas, Fes-Boulemane",https://www.acierpromaroc.com/,0661754248,,b2bmap.com,5.0,https://b2bmap.com/promasteel
Bagha Shoes,"Arts, Crafts & Gifts","Agadir, Agadir",https://baghashoes.com/,0680734437,,b2bmap.com,5.0,https://b2bmap.com/bagha-shoes
TECHNORDE,Construction & Real Estate,"ad-Dar-al-Bayda, Casablanca",https://www.technorde.ma/,0661522655,,b2bmap.com,5.0,https://b2bmap.com/technorde
Salice Cosmetics Labs,Health & Medical,"Agadir, Agadir",https://salicecosmeticslabs.com/,0698616798,,b2bmap.com,5.0,https://b2bmap.com/salice-cosmetics-labs
Eco Transfo,Energy & Power,"ad-Dar-al-Bayda, Casablanca",http://www.ecotransfo.ma/,0522964112,,b2bmap.com,5.0,https://b2bmap.com/eco-transfo
Maroc Gard,Security & Protection,"Fes, Fes-Boulemane",https://marocgard.com/,0666121600,,b2bmap.com,5.0,https://b2bmap.com/maroc-gard
Antique Brass Moroccan LTD.,Furniture & Decor,Marrakech-Tensift-Al Haouz,https://moroccanbrassart.com/,0660875375,,b2bmap.com,5.0,https://b2bmap.com/antique-brass-moroccan-ltd
OMNISCIENT PE,Construction & Real Estate,Taza-Al Hoceima-Taounate,,0777502515,,b2bmap.com,5.0,https://b2bmap.com/omniscient-pe
Berber Rugs Store Ltd,Furniture & Decor,Marrakech-Tensift-Al Haouz,http://handemadecarpet.com/,0701987332,,b2bmap.com,5.0,https://b2bmap.com/berber-rugs-store
Agence Digital Spread,Computer & IT,Taza-Al Hoceima-Taounate,http://www.astraldigital.ma/,0708018626,,b2bmap.com,5.0,https://b2bmap.com/agence-digital-spread
Argan Oil Wholesale Company,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanlab.com/,0660898837,,b2bmap.com,5.0,https://b2bmap.com/argan-oil-wholesale-company
Marganom,Health & Medical,Marrakech-Tensift-Al Haouz,https://marganom.com/,0663537766,,b2bmap.com,5.0,https://b2bmap.com/marganom
Bioprogreen,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.bioprogreen.com/,0522023136,,b2bmap.com,5.0,https://b2bmap.com/bioprogreen
Jood Cosmetic,Health & Medical,Souss Massa-Draa,,0679544035,,b2bmap.com,5.0,https://b2bmap.com/jood-cosmetic
Chameau Marrakech,Business Services,Marrakech-Tensift-Al Haouz,https://marrakechcheval.com/,0643935177,,b2bmap.com,5.0,https://b2bmap.com/chameau-marrakech
Moroccan Sardine,Food & Beverage,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,5.0,https://b2bmap.com/moroccan-sardine
Omak Trade,Furniture & Decor,,https://omakrayonnage.com/,0666986436,,b2bmap.com,5.0,https://b2bmap.com/company-3124
Organica Group LTD,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanorganica.com/,0648273228,,b2bmap.com,4.9,https://b2bmap.com/organica-group-ltd
Mobilier Bureau Pro (MBP),Furniture & Decor,"ad-Dar-al-Bayda, Casablanca",http://www.mobilierbureaupro.com/,0640395875,,b2bmap.com,4.9,https://b2bmap.com/mobilier-bureau-pro-mbp
Lex Connect,Computer & IT,"Tangier, Tangier-Tetouan",https://www.ma-lex.ma/,0661197304,,b2bmap.com,4.9,https://b2bmap.com/lex-connect
ORIENTAL GROUP,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanorganica.com/,0648273228,,b2bmap.com,4.9,https://b2bmap.com/argan-oil
Oriental Group,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanorganica.com/,0648273228,,b2bmap.com,4.9,https://b2bmap.com/oriental-group-sarl-au
Oriental Group,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanorganica.com/,0648273228,,b2bmap.com,4.9,https://b2bmap.com/oriental-group
Organica Group Sarl,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanorganica.com/,0648273228,,b2bmap.com,4.9,https://b2bmap.com/organica-group-sarl
Tresors El Mamoun,"Arts, Crafts & Gifts",Marrakech-Tensift-Al Haouz,https://tresorselmamoun.com/,0672789898,,b2bmap.com,4.8,https://b2bmap.com/tresors-el-mamoun
Labboho Morocco,"Arts, Crafts & Gifts","Agadir, Agadir",https://www.labboho.com/,0661115201,,b2bmap.com,4.7,https://b2bmap.com/labboho-morocco
MDS Cheminees,Furniture & Decor,Marrakech-Tensift-Al Haouz,https://mdscheminee.com/,0707006006,,b2bmap.com,4.7,https://b2bmap.com/mds-cheminees
Piximage,Textiles Leather & Jute,,http://www.piximage.ca/,+15149739841,,b2bmap.com,4.7,https://b2bmap.com/company-20013
Cyclomania Co,Uncategorised,,http://www.cyclomania.rs/,+381658738255,,b2bmap.com,4.7,https://b2bmap.com/company-11594
Paraceutica,Health & Medical,Marrakech-Tensift-Al Haouz,,0661248432,,b2bmap.com,4.6,https://b2bmap.com/paraceutica
Twichya,Furniture & Decor,Marrakech-Tensift-Al Haouz,,0661248432,,b2bmap.com,4.6,https://b2bmap.com/twichya
GATÔ,Food & Beverage,Marrakech-Tensift-Al Haouz,https://www.patisseriegato.ma/,0661303921,,b2bmap.com,4.5,https://b2bmap.com/gato
Story Rabat Hotel Boutique & Spa,Sports & Entertainment,"ar-Ribat, Rabat-Sale-Zammour-Zaer",https://www.story-rabat.com/,0538050800,,b2bmap.com,4.5,https://b2bmap.com/story-rabat-hotel-boutique-spa
Leather Shoes Wholesale,Textiles Leather & Jute,"ad-Dar-al-Bayda, Casablanca",https://www.opiyane.com/,0649000760,,b2bmap.com,4.5,https://b2bmap.com/leather-shoes-wholesale
Amin,Apparel & Fashion,,,0537775710,,b2bmap.com,4.4,https://b2bmap.com/company-20129
Moroccan Pouf Store,Furniture & Decor,Marrakech-Tensift-Al Haouz,,0707932646,,b2bmap.com,4.2,https://b2bmap.com/moroccan-pouf-store
Moroccan Leather Pouf Ottomans Footstools,Textiles Leather & Jute,Marrakech-Tensift-Al Haouz,,0707932646,,b2bmap.com,4.2,https://b2bmap.com/moroccan-leather-pouf-ottomans-footstools
PimaAfrica Distribution Sarl AU,Machinery & Industrial Supplies,"ad-Dar-al-Bayda, Casablanca",http://www.promagri.ma/,0522335059,,b2bmap.com,4.1,https://b2bmap.com/pimaafrica-distribution
Cosmeticlab Laboratoire,Health & Medical,Marrakech-Tensift-Al Haouz,https://cosmetiklab-laboratoires.com/,0525361515,,b2bmap.com,4.0,https://b2bmap.com/cosmeticlab-laboratoire
Moroccan Organic Products LTD,Health & Medical,Marrakech-Tensift-Al Haouz,https://www.moroccanorganicproducts.com/,0680866840,,b2bmap.com,4.0,https://b2bmap.com/moroccan-organic-products
Voltolina Lighting,Lights & Lighting,,http://www.magazzinivoltolina.com/,+390421244372,,b2bmap.com,4.0,https://b2bmap.com/company-1872
Ennea Trophi Sarl AU,Agro & Agriculture,"Agadir, Agadir",http://www.enneatrophi.com/,,,b2bmap.com,3.7,https://b2bmap.com/ennea-trophi-sarl-au
Sahara Holiday Tours,Office Supplies,"ad-Dar-al-Bayda, Casablanca",,0522850737,,b2bmap.com,3.5,https://b2bmap.com/sahara-holiday-tours
Fusion Bpo Services,Computer & IT,"ad-Dar-al-Bayda, Casablanca",https://www.fusioncx.com/locations/morocco/,0522429089,,b2bmap.com,3.4,https://b2bmap.com/fusion-bpo-services
Alwiffak Attijari,Rubber & Plastic Products,,,,,b2bmap.com,2.1,https://b2bmap.com/company-9094
Import Export Panafric,Machinery & Industrial Supplies,,http://www.safari.ma/,0537772714,,b2bmap.com,2.0,https://b2bmap.com/company-10497
Moroccan Natural Stone,Construction & Real Estate,"Tangier, Tangier-Tetouan",https://www.moroccannaturalstone.com/,0622204355,,b2bmap.com,0,https://b2bmap.com/moroccan-natural-stone
Timadel Home,Furniture & Decor,"Oujda, Oujda",,0650469815,,b2bmap.com,0,https://b2bmap.com/timadel-home
Viva Cosmetics,Agro & Agriculture,Marrakech-Tensift-Al Haouz,,0663120988,,b2bmap.com,0,https://b2bmap.com/viva-cosmetics
PINGER MAROC,Construction & Real Estate,Marrakech-Tensift-Al Haouz,http://www.pingerma.ma/,0524458567,,b2bmap.com,0,https://b2bmap.com/pinger-maroc
Maghreb Market,"Arts, Crafts & Gifts","ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0,https://b2bmap.com/maghreb-market
Falcoex,Agro & Agriculture,"ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0,https://b2bmap.com/falcoex
