name,category,location,website,contact,price_signal,source,score
PimaAfrica Distribution Sarl AU,Machinery & Industrial Supplies,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
Forum Diffusion,Office Supplies,"ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0
Organica Group LTD,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Agaforia,Office Supplies,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Moroccan Natural Stone,Construction & Real Estate,"Tangier, Tangier-Tetouan",,,,b2bmap.com,0
Tresors El Mamoun,"Arts, Crafts & Gifts",Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Gold Cheese Morocco,Food & Beverage,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
Mobilier Bureau Pro (MBP),Furniture & Decor,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
PROMASTEEL,Machinery & Industrial Supplies,"Fas, Fes-Boulemane",,,,b2bmap.com,0
Paraceutica,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Bagha Shoes,"Arts, Crafts & Gifts","Agadir, Agadir",,,,b2bmap.com,0
TECHNORDE,Construction & Real Estate,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
Labboho Morocco,"Arts, Crafts & Gifts","Agadir, Agadir",,,,b2bmap.com,0
Cosmeticlab Laboratoire,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Timadel Home,Furniture & Decor,"Oujda, Oujda",,,,b2bmap.com,0
Ennea Trophi Sarl AU,Agro & Agriculture,"Agadir, Agadir",,,,b2bmap.com,0
Moroccan Pouf Store,Furniture & Decor,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Viva Cosmetics,Agro & Agriculture,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Salice Cosmetics Labs,Health & Medical,"Agadir, Agadir",,,,b2bmap.com,0
Eco Transfo,Energy & Power,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
Maroc Gard,Security & Protection,"Fes, Fes-Boulemane",,,,b2bmap.com,0
Antique Brass Moroccan LTD.,Furniture & Decor,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
GATÔ,Food & Beverage,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
PINGER MAROC,Construction & Real Estate,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Maghreb Market,"Arts, Crafts & Gifts","ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0
OMNISCIENT PE,Construction & Real Estate,Taza-Al Hoceima-Taounate,,,,b2bmap.com,0
Berber Rugs Store Ltd,Furniture & Decor,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Story Rabat Hotel Boutique & Spa,Sports & Entertainment,"ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0
Fusion Bpo Services,Computer & IT,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
MDS Cheminees,Furniture & Decor,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Agence Digital Spread,Computer & IT,Taza-Al Hoceima-Taounate,,,,b2bmap.com,0
Argan Oil Wholesale Company,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Lex Connect,Computer & IT,"Tangier, Tangier-Tetouan",,,,b2bmap.com,0
Leather Shoes Wholesale,Textiles Leather & Jute,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
Twichya,Furniture & Decor,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Falcoex,Agro & Agriculture,"ar-Ribat, Rabat-Sale-Zammour-Zaer",,,,b2bmap.com,0
Sahara Holiday Tours,Office Supplies,"ad-Dar-al-Bayda, Casablanca",,,,b2bmap.com,0
Moroccan Organic Products LTD,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Marganom,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Bioprogreen,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Jood Cosmetic,Health & Medical,Souss Massa-Draa,,,,b2bmap.com,0
ORIENTAL GROUP,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Moroccan Leather Pouf Ottomans Footstools,Textiles Leather & Jute,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Chameau Marrakech,Business Services,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Oriental Group,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Moroccan Sardine,Food & Beverage,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Oriental Group,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Organica Group Sarl,Health & Medical,Marrakech-Tensift-Al Haouz,,,,b2bmap.com,0
Amin,Apparel & Fashion,,,,,b2bmap.com,0
Piximage,Textiles Leather & Jute,,,,,b2bmap.com,0
Import Export Panafric,Machinery & Industrial Supplies,,,,,b2bmap.com,0
Omak Trade,Furniture & Decor,,,,,b2bmap.com,0
Alwiffak Attijari,Rubber & Plastic Products,,,,,b2bmap.com,0
Voltolina Lighting,Lights & Lighting,,,,,b2bmap.com,0
Cyclomania Co,Uncategorised,,,,,b2bmap.com,0
